doctor_id,name,gender,specialization,hospital_id,city
D1121,Amy Anderson,F,Orthopedic,H002,New York
D1122,Casey Shepherd,F,Orthopedic,H002,Boston
D1123,Jillian Martinez,F,Neurologist,H002,Boston
D1124,Nicole Ayala,F,Neurologist,H001,New York
D1125,Lori Clark,F,Oncologist,H001,Boston
D1126,Breanna Huber,F,Cardiologist,H001,Boston
D1127,Melissa Crane,F,Oncologist,H001,Boston
D1128,Heather Jones,F,Pediatrician,H002,Boston
D1129,Michelle Brown,F,Oncologist,H002,New York
D1130,David Hardy,M,Neurologist,H001,New York
D1131,Stuart Russell,M,Cardiologist,H002,New York
D1132,John Sharp,M,Oncologist,H002,New York
D1133,Whitney Garcia,F,Neurologist,H002,New York
D1134,Veronica Gonzalez,F,Orthopedic,H001,New York
D1135,William Case,M,Orthopedic,H002,New York
D1136,Sheila Sanford,F,Cardiologist,H002,Boston
D1137,Sierra Lopez,F,Oncologist,H002,New York
D1138,Gloria Cox,F,Oncologist,H002,Boston
D1139,Natasha Koch,F,Cardiologist,H002,Boston
D1140,Brandon Byrd,M,Orthopedic,H001,Boston
D1141,Aaron Nielsen,M,Oncologist,H002,New York
D1142,Amanda Jones,F,Neurologist,H001,New York
D1143,Laura Lawrence,F,General Physician,H001,New York
D1144,Angela Russell,F,Neurologist,H002,New York
D1145,Rodney Erickson,M,Pediatrician,H001,New York
D1146,Robert Robinson,M,General Physician,H001,New York
D1147,James Gray DDS,M,Neurologist,H002,New York
D1148,Kyle Velez,M,Oncologist,H002,Boston
D1149,Victor Allen,M,Oncologist,H001,Boston
D1150,Tina Braun,F,Orthopedic,H002,Boston
D1151,Linda Davis,F,General Physician,H002,New York
D1152,Amanda Moore,F,General Physician,H002,Boston
D1153,James Adams,M,Oncologist,H002,New York
D1154,Chad Buchanan,M,Pediatrician,H002,Boston
D1155,Pamela Dominguez,F,General Physician,H002,Boston
D1156,William Moody,M,Cardiologist,H002,New York
D1157,Stacy Gonzalez,F,Neurologist,H001,Boston
D1158,Travis James,M,Orthopedic,H001,New York
D1159,Teresa Ingram,F,General Physician,H001,New York
D1160,Charles Hall,M,Orthopedic,H002,New York
D1161,Tina Garcia,F,Oncologist,H002,Boston
D1162,Thomas Chandler,M,Pediatrician,H001,Boston
D1163,Justin Watkins,M,Cardiologist,H001,New York
D1164,James Davis,M,Neurologist,H002,Boston
D1165,Rachel Moore,F,General Physician,H001,Boston
D1166,Matthew Martinez,M,Cardiologist,H001,Boston
D1167,Caroline Arnold,F,Pediatrician,H002,Boston
D1168,Isaac Carr,M,Pediatrician,H001,New York
D1169,Steven Yates,M,General Physician,H001,Boston
D1170,Michelle Wolf,F,General Physician,H002,Boston
D1171,James Schultz,M,Orthopedic,H002,Boston
D1172,Brandon Hendrix,M,General Physician,H001,Boston
D1173,Amber Nguyen,F,Oncologist,H001,New York
D1174,Jennifer Page,F,Orthopedic,H001,New York
D1175,Adam Nguyen,M,General Physician,H001,Boston
D1176,Omar Sandoval,M,Cardiologist,H002,New York
D1177,Christopher Lawrence,M,Neurologist,H002,Boston
D1178,Terri Parrish,F,Pediatrician,H001,New York
D1179,Dana Parsons,F,General Physician,H002,New York
D1180,Jimmy Warner,M,Pediatrician,H002,New York
D1181,Erica Hernandez,F,Orthopedic,H002,New York
D1182,Anna Taylor,F,Oncologist,H001,Boston
D1183,Crystal Peterson,F,Orthopedic,H001,Boston
D1184,Scott Anderson,M,Orthopedic,H002,New York
D1185,Dr. Jason Sandoval,M,Orthopedic,H001,Boston
D1186,Victoria Horn,F,Pediatrician,H002,Boston
D1187,Ricky Richardson,M,Neurologist,H001,New York
D1188,Kelsey Noble,F,Neurologist,H002,Boston
D1189,Matthew Jones,M,Oncologist,H001,New York
D1190,Aaron Coleman,M,Cardiologist,H001,Boston
D1191,Melissa Allen,F,General Physician,H001,New York
D1192,Nicholas Mack,M,Cardiologist,H001,New York
D1193,Kevin Clarke,M,Oncologist,H002,New York
D1194,Angela Davis,F,Neurologist,H002,Boston
D1195,Eugene Anderson,M,Pediatrician,H001,Boston
D1196,Robert Torres,M,Neurologist,H001,New York
D1197,Jennifer Edwards,F,Oncologist,H001,Boston
D1198,Mrs. Janet Smith,F,General Physician,H001,New York
D1199,Matthew Mayer,M,Pediatrician,H001,Boston
D1200,John Smith,M,Orthopedic,H002,Boston
D1201,Daniel Wright,M,General Physician,H001,New York
D1202,John Miller,M,Pediatrician,H002,Boston
D1203,Sherry Collins,F,Orthopedic,H001,Boston
D1204,Heather Park,F,Orthopedic,H001,New York
D1205,Matthew Ryan,M,Oncologist,H002,Boston
D1206,Brendan Richards,M,Neurologist,H002,New York
D1207,Michael Johnson,M,Orthopedic,H002,Boston
D1208,Casey Flores,M,Cardiologist,H002,New York
D1209,Anthony Mejia,M,Oncologist,H002,Boston
D1210,Casey Morris,F,Cardiologist,H002,Boston
D1211,Natasha Howard,F,Neurologist,H002,Boston
D1212,Russell Dawson,M,Neurologist,H001,New York
D1213,Ricky Griffin,M,Pediatrician,H002,New York
D1214,Laura Tucker,F,General Physician,H001,New York
D1215,Gerald Martin,M,Oncologist,H001,New York
D1216,Brian Miller,M,Cardiologist,H001,New York
D1217,Whitney Daniels,F,Orthopedic,H001,New York
D1218,Ann Clark,F,Pediatrician,H001,Boston
D1219,Matthew Alexander,M,Cardiologist,H002,New York
D1220,Eric Williams,M,General Physician,H002,Boston
D1221,Mrs. Danielle Morales,F,Pediatrician,H001,Boston
D1222,Paul Williams,M,Oncologist,H001,Boston
D1223,Joseph Hill,M,Orthopedic,H001,New York
D1224,Catherine Sellers,F,Orthopedic,H001,Boston
D1225,Anthony Evans,M,General Physician,H002,New York
D1226,Julie Clark,F,Cardiologist,H002,New York
D1227,Michael Miller,M,General Physician,H001,Boston
D1228,Elizabeth Tyler,F,Neurologist,H001,Boston
D1229,Jared Conley,M,Cardiologist,H001,New York
D1230,Samantha Elliott,F,Pediatrician,H002,New York
D1231,Gary Baldwin,M,Neurologist,H002,New York
D1232,Catherine Mcneil,F,Pediatrician,H002,Boston
D1233,William Sanchez,M,Oncologist,H001,Boston
D1234,Tanya Campbell,F,Oncologist,H002,Boston
D1235,Gregory Francis,M,Neurologist,H002,Boston
D1236,Brenda Gonzalez,F,Cardiologist,H001,Boston
D1237,David Clark,M,Neurologist,H002,New York
D1238,Victor Pittman,M,Orthopedic,H001,New York
D1239,Haley Spencer,F,Orthopedic,H002,Boston
D1240,Linda Reyes,F,Cardiologist,H002,Boston
D1241,Brandon Leon,M,Pediatrician,H002,New York
D1242,Lisa Montoya,F,Orthopedic,H001,Boston
D1243,Lauren Beck,F,Pediatrician,H002,New York
D1244,Joshua Miller,M,Pediatrician,H001,New York
D1245,Tammy Herrera,F,Orthopedic,H002,New York
D1246,Martin Graham,M,General Physician,H002,New York
D1247,Corey Keller,M,Pediatrician,H001,Boston
D1248,Kathryn Galloway,F,Pediatrician,H001,Boston
D1249,Keith Moon,M,Pediatrician,H002,Boston
D1250,Thomas Duncan,M,General Physician,H001,Boston
D1251,Craig Gonzalez,M,General Physician,H002,Boston
D1252,Cynthia Perez,F,Oncologist,H001,New York
D1253,Corey Murray,M,Oncologist,H001,Boston
D1254,Amanda Jackson,F,Oncologist,H001,Boston
D1255,Jordan Martin,F,Oncologist,H002,Boston
D1256,Victor Joseph,M,General Physician,H002,New York
D1257,Phyllis Williams,F,Oncologist,H001,Boston
D1258,Lisa Moore,F,Pediatrician,H002,New York
D1259,Paul Wilson,M,Oncologist,H001,New York
D1260,William Contreras,M,Oncologist,H001,New York
D1261,Rita Johnson,F,Orthopedic,H001,New York
D1262,Jessica Gardner,F,Neurologist,H001,Boston
D1263,Tracy Day,F,General Physician,H001,Boston
D1264,Shelly Hunter,F,Orthopedic,H001,Boston
D1265,Ryan Wu,M,General Physician,H001,Boston
D1266,Deborah Jones,F,Orthopedic,H001,New York
D1267,Latoya Navarro,F,Orthopedic,H001,Boston
D1268,Matthew Hernandez,M,Orthopedic,H002,New York
D1269,David Leon,M,Oncologist,H001,New York
D1270,Caroline Jones,F,Oncologist,H001,New York
D1271,Melissa Richards,F,Pediatrician,H001,New York
D1272,Chase Vazquez Jr.,M,Neurologist,H002,Boston
D1273,Brittany Blankenship,F,Cardiologist,H002,Boston
D1274,Brandon Bowman,M,Orthopedic,H001,New York
D1275,Nancy Potter,F,Orthopedic,H002,Boston
D1276,Paul Greer,M,General Physician,H002,Boston
D1277,Mrs. Mindy Fisher,F,Orthopedic,H002,Boston
D1278,Heather Webster,F,Orthopedic,H001,Boston
D1279,Jimmy Meadows,M,Cardiologist,H001,New York
D1280,Peter Johnson,M,General Physician,H001,Boston
D1281,Roberto Becker,M,Cardiologist,H001,New York
D1282,Toni Oneal,F,Pediatrician,H002,New York
D1283,Molly Blankenship,F,Pediatrician,H002,Boston
D1284,Christopher Jones,M,Oncologist,H001,New York
D1285,Oscar Clark,M,Oncologist,H002,New York
D1286,Bethany Thompson,F,Orthopedic,H001,New York
D1287,Frank Gonzalez,M,Pediatrician,H001,New York
D1288,Kevin Gill,M,General Physician,H001,New York
D1289,Louis Martinez,M,Oncologist,H002,New York
D1290,Edward Morales,M,Neurologist,H002,Boston
D1291,Charles Wheeler,M,Pediatrician,H002,Boston
D1292,Ian Fields,M,Neurologist,H001,New York
D1293,Chad Patel,M,Orthopedic,H002,New York
D1294,Adam Mcfarland,M,Orthopedic,H002,New York
D1295,Evan Anderson,M,Neurologist,H002,New York
D1296,Mr. Anthony Parks,M,General Physician,H001,Boston
D1297,Greg Gardner,M,Orthopedic,H002,New York
D1298,Natalie Walton,F,Pediatrician,H001,New York
D1299,Lauren Golden,F,Neurologist,H002,New York
D1300,Cesar Wagner,M,Pediatrician,H001,New York
D1301,Ernest Reynolds,M,Neurologist,H002,Boston
D1302,Michael Davis,M,General Physician,H001,New York
D1303,Rebecca Carpenter,F,Pediatrician,H001,New York
D1304,Deanna Torres,F,General Physician,H001,New York
D1305,Mary Ward,F,Orthopedic,H002,New York
D1306,Robin Sanders,F,Orthopedic,H002,New York
D1307,Austin Moore,M,Pediatrician,H001,New York
D1308,Marcus Black,M,Pediatrician,H001,New York
D1309,Michael Friedman,M,General Physician,H002,New York
D1310,Victoria Wheeler,F,Oncologist,H002,Boston
D1311,Scott Duncan,M,Cardiologist,H001,Boston
D1312,Nathan Robinson,M,Cardiologist,H001,New York
D1313,Paul Blair,M,Oncologist,H002,New York
D1314,Richard Matthews,M,Orthopedic,H002,New York
D1315,Erin Taylor,F,General Physician,H002,Boston
D1316,Alison Deleon,F,Pediatrician,H002,Boston
D1317,Joshua Wall,M,Oncologist,H001,New York
D1318,Amanda Taylor,F,Cardiologist,H002,Boston
D1319,Barbara Clarke,F,Neurologist,H002,New York
D1320,Greg Henderson,M,General Physician,H001,Boston
D1321,Michael Valenzuela,M,General Physician,H001,New York
D1322,Allen Carter DDS,M,Pediatrician,H002,Boston
D1323,Alexandra Hansen,F,General Physician,H001,New York
D1324,Alexis Stevens MD,F,Cardiologist,H002,New York
D1325,Natalie Brandt,F,Cardiologist,H002,Boston
D1326,Kevin Cole,M,Cardiologist,H001,New York
D1327,Jessica Shaffer,F,Cardiologist,H001,Boston
D1328,Rebecca Huff,F,Pediatrician,H001,Boston
D1329,Frank Sutton,M,General Physician,H002,New York
D1330,Luke Perkins,M,Cardiologist,H001,New York
D1331,Marco Reyes,M,Oncologist,H001,New York
D1332,Steve Crawford,M,Pediatrician,H002,Boston
D1333,Samantha Hamilton,F,General Physician,H001,New York
D1334,David Fletcher,M,Oncologist,H001,Boston
D1335,Dana Rosario,F,Pediatrician,H002,Boston
D1336,Rebecca Walker,F,Cardiologist,H002,New York
D1337,Jacob Franklin,M,Neurologist,H002,Boston
D1338,Vanessa Griffin,F,Oncologist,H001,Boston
D1339,Tammy Pace,F,Orthopedic,H001,New York
D1340,Gerald Tucker II,M,Neurologist,H002,New York
D1341,Kevin Butler,M,Cardiologist,H001,Boston
D1342,Jaime Smith,F,Pediatrician,H002,New York
D1343,Shelby Nelson,F,Orthopedic,H002,Boston
D1344,Alan Vasquez,M,Cardiologist,H002,New York
D1345,Carla Greene,F,Neurologist,H002,Boston
D1346,Patricia Brown,F,Neurologist,H002,Boston
D1347,Robin Francis,F,Pediatrician,H001,New York
D1348,Suzanne Smith,F,Oncologist,H002,Boston
D1349,Anna Quinn,F,Cardiologist,H002,Boston
D1350,Melinda Jacobson,F,Orthopedic,H002,Boston
D1351,Kristen Gray,F,Orthopedic,H002,Boston
D1352,Nancy Carpenter,F,General Physician,H002,Boston
D1353,Vanessa Fox,F,Neurologist,H001,New York
D1354,Angela Gutierrez,F,General Physician,H002,Boston
D1355,Jonathan Brown,M,Cardiologist,H002,Boston
D1356,Stacy Williams,F,Cardiologist,H001,Boston
D1357,Jeanne Kelley,F,General Physician,H002,New York
D1358,Lori Monroe,F,Orthopedic,H001,Boston
D1359,Mario Garza,M,Oncologist,H002,New York
D1360,Alexander Mitchell,M,Pediatrician,H002,Boston
D1361,Ashley Mcdaniel,F,Pediatrician,H002,Boston
D1362,Jesse Elliott,M,Orthopedic,H001,New York
D1363,Christian Gonzalez,M,Orthopedic,H001,New York
D1364,Nathan Mason,M,Pediatrician,H002,Boston
D1365,Travis Thompson,M,Orthopedic,H001,New York
D1366,Kimberly House,F,Cardiologist,H002,Boston
D1367,Ronald Harrison,M,Oncologist,H001,Boston
D1368,Hunter Goodwin,M,Oncologist,H001,New York
D1369,Mr. Jacob Williams,M,Pediatrician,H001,Boston
D1370,Leonard Flores,M,Pediatrician,H002,New York
D1371,Rodney Horne,M,Oncologist,H001,Boston
D1372,Susan Reyes,F,Oncologist,H001,New York
D1373,Austin Wright,M,Cardiologist,H002,New York
D1374,Alexandra Gonzalez,F,Neurologist,H002,New York
D1375,Laura Smith,F,Oncologist,H002,Boston
D1376,Brian Little,M,Neurologist,H002,Boston
D1377,Robert Lewis,M,Neurologist,H001,Boston
D1378,Nancy Ferguson,F,General Physician,H001,Boston
D1379,William Bailey,M,Pediatrician,H001,New York
D1380,Wendy Villegas,F,Neurologist,H002,New York
D1381,Gregory Barker,M,General Physician,H001,New York
D1382,Austin Mcbride,M,Cardiologist,H002,Boston
D1383,Alexander Jordan,M,Cardiologist,H002,Boston
D1384,Robin Long,F,General Physician,H001,Boston
D1385,Lynn Wilson,F,Neurologist,H001,Boston
D1386,John Jackson,M,General Physician,H002,Boston
D1387,Ernest Thompson,M,Orthopedic,H002,New York
D1388,James Wood,M,General Physician,H001,Boston
D1389,Megan Grant,F,Pediatrician,H002,Boston
D1390,James Williams,M,Neurologist,H002,Boston
D1391,Teresa Murphy,F,Cardiologist,H001,New York
D1392,Jason Robinson,M,Neurologist,H001,Boston
D1393,Rebecca Moore,F,General Physician,H002,Boston
D1394,Stephanie Mills,F,Cardiologist,H001,Boston
D1395,Brittney Melton,F,Orthopedic,H002,Boston
D1396,Jason Armstrong,M,Pediatrician,H002,Boston
D1397,Lisa Young,F,Orthopedic,H001,Boston
D1398,James Hall,M,Pediatrician,H002,Boston
D1399,Joseph Lopez,M,Oncologist,H002,New York
D1400,David Anderson MD,M,Pediatrician,H002,New York
D1401,Christina Young,F,Oncologist,H001,Boston
D1402,Melinda Davis,F,Pediatrician,H002,Boston
D1403,Christine Shelton,F,Neurologist,H002,Boston
D1404,Jamie Alvarez,F,Cardiologist,H001,Boston
D1405,Joseph Barber,M,Pediatrician,H001,Boston
D1406,Mrs. Margaret Wilson MD,F,Pediatrician,H001,New York
D1407,Kimberly Martinez,F,Neurologist,H001,Boston
D1408,Briana Fernandez,F,Orthopedic,H002,New York
D1409,Christopher Chang,M,Neurologist,H002,New York
D1410,Alexandra Smith,F,Cardiologist,H001,New York
D1411,Martha Richards,F,Pediatrician,H001,New York
D1412,Justin White,M,Cardiologist,H001,Boston
D1413,Nicholas Johnson,M,Cardiologist,H002,New York
D1414,Marilyn Taylor,F,General Physician,H002,Boston
D1415,James Williams,M,Orthopedic,H002,New York
D1416,Shannon Gallagher,F,Pediatrician,H001,New York
D1417,Danielle Baird,F,Pediatrician,H001,New York
D1418,Judy Deleon,F,Pediatrician,H001,New York
D1419,Sean Carney,M,Pediatrician,H001,Boston
D1420,Jeremy Bright,M,Orthopedic,H001,Boston
D1421,William Davis,M,Orthopedic,H001,New York
D1422,Kimberly Robertson,F,Neurologist,H002,Boston
D1423,Tiffany Riddle,F,Cardiologist,H001,New York
D1424,Eddie Edwards,M,Orthopedic,H002,New York
D1425,Michael Brown,M,Pediatrician,H002,Boston
D1426,Melinda Hill,F,Oncologist,H001,New York
D1427,Eric Wise,M,Oncologist,H001,New York
D1428,James Davis,M,Oncologist,H001,New York
D1429,Ronnie Hodges,M,Cardiologist,H002,Boston
D1430,Courtney White,F,Cardiologist,H002,New York
D1431,Meghan Hayes,F,Oncologist,H002,Boston
D1432,Sheila Murphy,F,Oncologist,H002,New York
D1433,Victoria Smith,F,Neurologist,H001,Boston
D1434,Courtney Parsons,F,Neurologist,H002,New York
D1435,Danielle Smith,F,General Physician,H001,Boston
D1436,Andrew Shepard,M,General Physician,H002,New York
D1437,Angelica Campbell,F,Oncologist,H001,Boston
D1438,William Hall,M,Cardiologist,H001,New York
D1439,John Sanchez,M,Pediatrician,H002,New York
D1440,Kayla Russell DVM,F,Pediatrician,H002,New York
D1441,Brooke Orr,F,Orthopedic,H001,Boston
D1442,Shane Moore,M,Oncologist,H002,Boston
D1443,James Conner,M,Oncologist,H002,Boston
D1444,Kelli Trujillo,F,Cardiologist,H002,New York
D1445,Kelsey Small,F,Orthopedic,H001,Boston
D1446,Jared Woods,M,Pediatrician,H002,Boston
D1447,Meghan Monroe,F,Cardiologist,H002,New York
D1448,Nicholas Jackson,M,Oncologist,H001,New York
D1449,Rebecca Jensen,F,General Physician,H002,New York
D1450,Joyce Williamson,F,Cardiologist,H002,New York
D1451,Robert Lopez,M,General Physician,H002,New York
D1452,Keith Lawrence,M,Orthopedic,H002,New York
D1453,Travis Mitchell,M,Cardiologist,H001,Boston
D1454,Kathleen Costa,F,Orthopedic,H001,Boston
D1455,Leah Bowman,F,Cardiologist,H001,Boston
D1456,Sarah Norris,F,Neurologist,H001,Boston
D1457,Douglas Wright,M,Oncologist,H002,New York
D1458,John Juarez,M,Oncologist,H001,Boston
D1459,James Curry,M,Pediatrician,H001,Boston
D1460,Christopher Taylor,M,General Physician,H001,New York
D1461,Robert Little,M,Neurologist,H001,Boston
D1462,Vanessa Holt,F,Orthopedic,H001,New York
D1463,Valerie Wilson,F,Cardiologist,H001,Boston
D1464,Scott Miller,M,Orthopedic,H002,Boston
D1465,Michelle Glenn,F,General Physician,H001,New York
D1466,Geoffrey Rocha,M,Pediatrician,H001,Boston
D1467,Matthew Thompson,M,Orthopedic,H002,New York
D1468,Robert Moore,M,Oncologist,H001,Boston
D1469,Matthew Yates PhD,M,Cardiologist,H001,Boston
D1470,Christina Valdez,F,Orthopedic,H001,New York
D1471,Madison Chase,F,Cardiologist,H001,Boston
D1472,Maria Moody,F,Orthopedic,H001,Boston
D1473,Karen Moreno,F,Cardiologist,H002,Boston
D1474,Brandon Bradley,M,Neurologist,H002,New York
D1475,Karen Patterson,F,Pediatrician,H001,Boston
D1476,Jennifer Cruz,F,Oncologist,H002,Boston
D1477,William Nunez,M,Cardiologist,H001,New York
D1478,Peter Castro,M,Pediatrician,H001,New York
D1479,Jessica Mccormick,F,Pediatrician,H001,New York
D1480,Douglas Woods,M,Oncologist,H002,Boston
D1481,Keith Luna,M,Orthopedic,H001,New York
D1482,Natasha Riley,F,Oncologist,H001,Boston
D1483,Mrs. Elizabeth Quinn PhD,F,Pediatrician,H001,New York
D1484,Sarah Lee,F,Pediatrician,H002,New York
D1485,Patricia Frazier,F,Orthopedic,H001,New York
D1486,Ashley Singh,F,Cardiologist,H002,New York
D1487,Brandon Myers,M,Orthopedic,H002,New York
D1488,Gina Lopez,F,Neurologist,H002,Boston
D1489,Phyllis Powell,F,Oncologist,H002,New York
D1490,Ricky Lane,M,Orthopedic,H001,New York
D1491,Jerry Garcia,M,Neurologist,H001,Boston
D1492,Martin Atkinson,M,Oncologist,H001,Boston
D1493,David Davis,M,Cardiologist,H001,New York
D1494,Nicole Lopez,F,Oncologist,H001,Boston
D1495,Nichole Stevenson,F,General Physician,H001,New York
D1496,Todd Garcia,M,Orthopedic,H002,New York
D1497,Jennifer Norris,F,Pediatrician,H002,New York
D1498,Jason Gonzalez,M,Orthopedic,H001,Boston
D1499,Michelle Gross,F,General Physician,H001,Boston
D1500,Jonathan Johnson,M,Oncologist,H002,Boston
D1501,Kim Stokes,F,Oncologist,H001,New York
D1502,Kerry Clark,M,General Physician,H002,Boston
D1503,Joann Taylor,F,Cardiologist,H002,Boston
D1504,Mike Chavez,M,Pediatrician,H002,Boston
D1505,Rebecca Hudson,F,General Physician,H002,New York
D1506,Renee Francis,F,Orthopedic,H001,New York
D1507,Michelle Gonzalez,F,General Physician,H001,New York
D1508,Andre Romero,M,Pediatrician,H001,New York
D1509,Tonya Howell,F,Orthopedic,H002,New York
D1510,Katie Lewis,F,Oncologist,H002,New York
D1511,Angela Brown,F,Pediatrician,H001,New York
